a,b,c,d,e,f,g,h,i,FE
4.7,8,6,1,0,2,2,1,0,28.02
4.7,8,6,1,0,2,2,1,0,25.61
4.2,8,6,1,0,2,2,1,0,26.8
4.2,8,6,1,0,2,2,1,0,25.05
5.2,10,6,0,0,2,2,1,0,24.8
5.2,10,6,0,0,2,2,1,0,23.9
2,4,6,0,0,2,2,1,0,39.73
6,12,6,0,0,2,2,1,0,24.4
3,6,6,1,0,2,2,1,1,39.71
3,6,6,0,0,2,2,1,1,38.79
3,6,7,1,0,2,2,1,0,33.63
3,6,6,0,0,2,2,1,0,35.27
8,16,7,0,0,2,2,1,0,17.8
6.2,8,6,0,0,1,1,0,0,27.1
6.2,8,6,1,0,1,1,0,0,34.35
6.2,8,6,0,0,1,1,0,0,35.8
7,8,6,0,0,1,1,0,0,33.7
8.4,10,6,0,0,1,1,1,0,30
8.4,10,6,0,0,1,1,1,0,30
4.5,8,7,0,0,2,2,1,0,24.35
5.7,12,6,0,0,2,2,1,0,20.99
5.7,12,6,0,0,2,2,1,0,21.1
5.2,10,6,1,0,2,2,1,0,25.4
5.2,10,6,0,0,2,2,1,0,24
5.2,10,6,0,0,2,2,1,0,25.4
5.2,10,6,0,0,2,2,1,0,22.6
6.5,12,7,0,0,2,2,1,0,17.5
6.5,12,7,0,0,2,2,1,0,19.9
6.5,12,7,0,0,2,2,1,0,19.9
6.5,12,7,0,0,2,2,1,0,17.5
6.5,12,7,0,0,2,2,1,0,19.9
1.8,4,6,0,0,2,2,1,1,37.62
1.8,4,6,0,0,2,2,1,1,37
2,4,5,0,0,2,2,1,0,39
2,4,6,0,0,2,2,1,0,39
2,4,6,1,0,2,2,1,0,38.51
5.5,8,7,1,0,2,2,1,0,29.3
3,6,6,0,0,2,2,1,0,35.9
3.5,6,7,1,0,2,2,1,0,36.2
3.5,6,7,1,0,2,2,1,0,34.5
3.5,6,6,0,0,2,2,1,0,34.79
5.5,8,7,1,0,2,1,1,0,30.8
1,3,5,1,0,2,2,1,0,57.8
1,3,5,1,0,2,2,1,0,57.8
3.7,6,6,1,0,2,2,1,1,35.98
3.7,6,7,1,0,2,2,1,1,36.9
3.7,6,7,1,0,2,2,1,1,34.58
3.7,6,6,0,0,2,2,1,1,34.9
2,4,5,1,0,2,2,1,0,37.5
2,4,5,0,0,2,2,1,0,40
2.4,4,5,1,0,2,2,1,0,33.6
2.4,4,5,0,0,2,2,1,0,36.4
3.8,6,6,0,0,2,2,1,1,28.55
3.8,6,6,0,0,2,2,1,1,27.37
2.9,6,6,0,0,2,2,1,1,37.33
2.9,6,7,0,0,2,2,1,1,41.36
3.4,6,6,0,0,2,2,1,1,36.73
3.4,6,7,0,0,2,2,1,1,41
2.9,6,6,0,0,2,2,1,1,37.33
2.9,6,7,0,0,2,2,1,1,41.36
3.4,6,6,0,0,2,2,1,1,36.73
3.4,6,7,0,0,2,2,1,1,41
2,4,5,1,0,2,2,1,0,37.5
2,4,5,0,0,2,2,1,0,40
2.4,4,5,0,0,2,2,1,0,36.4
2.4,4,5,1,0,2,2,1,0,33.6
4.2,8,6,1,0,3,2,1,0,27.47
5.9,12,6,1,0,2,2,0,0,23.65
5.9,12,6,1,0,2,2,0,0,27.24
5.9,12,6,1,0,2,2,0,0,22.93
5.9,12,6,1,0,2,2,0,0,24.7
4.3,8,7,0,0,2,2,1,0,26.12
5,8,6,1,0,2,2,1,1,32.88
5,8,6,1,0,2,2,1,0,30.34
5,8,6,1,0,2,2,1,1,30.8
4.3,8,6,1,0,2,2,1,0,31.6
3.5,6,6,0,0,2,2,1,0,35.5
1.6,4,6,0,0,2,2,1,1,51.66
1.6,4,6,1,0,2,2,1,1,47.2
1.6,4,6,0,0,2,2,1,1,52
1.6,4,6,1,0,2,2,1,1,47.2
1.6,4,6,1,0,2,2,1,0,44.57
1.6,4,6,0,0,2,2,1,0,47.76
1.6,4,6,1,0,2,2,1,0,44.57
1.6,4,6,0,0,2,2,1,0,47.76
1.6,4,6,0,0,2,2,1,1,46.5
1.6,4,6,0,0,2,2,1,1,46.5
2.4,4,4,1,0,2,2,0,1,36.26
3.8,6,5,1,0,2,2,0,1,33.2
3.6,6,6,0,0,2,2,1,1,35.24
3.6,6,7,0,0,2,2,1,1,37.69
3.6,6,6,0,0,2,2,1,1,34.88
3.6,6,7,0,0,2,2,1,1,36.76
3.6,6,6,0,0,2,2,1,1,34.88
3.6,6,7,0,0,2,2,1,1,36.44
3.6,6,6,0,0,2,2,1,1,34.88
3.6,6,7,0,0,2,2,1,1,36.44
3.8,6,6,0,0,2,2,1,1,34.51
3.8,6,7,0,0,2,2,1,1,36.01
3.8,6,6,0,0,2,2,1,1,34.51
3.8,6,7,0,0,2,2,1,1,37.08
3.8,6,6,0,0,2,2,1,1,34.51
3.8,6,7,0,0,2,2,1,1,37.08
3.6,6,6,0,0,2,2,1,1,35.24
3.6,6,7,0,0,2,2,1,1,37.69
3.8,6,6,0,0,2,2,1,1,35.36
3.8,6,7,0,0,2,2,1,1,36.93
3.8,6,7,0,0,2,2,1,1,36.93
3.8,6,6,0,0,2,2,1,1,35.36
3.8,6,7,1,0,2,2,1,1,33.85
3.8,6,6,0,0,2,2,1,1,33.16
3.8,6,7,1,0,2,2,1,1,34.26
3.8,6,6,0,0,2,2,1,1,33.24
3.8,6,7,1,0,2,2,1,1,33.85
3.8,6,7,1,0,2,2,1,1,34.26
2.5,5,6,0,0,2,2,1,0,39.73
5.9,12,6,1,0,2,2,0,0,26.62
2,4,1,0,0,2,2,1,1,42.77
2,4,6,1,0,2,2,1,1,37
2,4,6,1,0,2,2,1,1,37.8
2,4,6,1,0,2,2,1,1,42.58
3.2,6,6,0,0,2,2,1,1,36.2
4.2,8,6,1,0,2,2,1,0,31
4.2,8,6,0,0,2,2,1,0,29.3
3,6,7,0,0,2,2,1,0,34
2,4,6,0,0,2,2,1,0,39.73
6,12,6,1,0,2,2,1,0,23.27
3,6,6,1,0,2,2,1,1,38.17
3,6,6,0,0,2,2,1,1,38.79
3,6,6,1,0,2,2,1,1,39.71
3,6,6,0,0,2,2,1,1,38.79
3,6,6,1,0,2,2,1,0,35.5
3,6,6,0,0,2,2,1,0,35.27
3,6,6,1,0,2,2,1,0,36.15
3,6,6,0,0,2,2,1,0,35.71
3,6,6,1,0,2,2,1,1,39.71
3,6,6,0,0,2,2,1,1,38.79
3,6,6,1,0,2,2,1,1,38.17
3,6,6,1,0,2,2,1,1,36.8
3,6,6,1,0,2,2,1,1,35.54
3,6,6,0,0,2,2,1,1,35.46
3,6,6,1,0,2,2,1,0,36.15
3,6,6,0,0,2,2,1,0,35.71
3,6,6,1,0,2,2,1,0,36.15
3,6,6,0,0,2,2,1,0,35.71
3,6,6,1,0,2,2,1,0,34.73
3,6,6,1,0,2,2,1,0,34.29
4.8,8,6,1,0,2,2,1,1,30.54
4.8,8,6,1,0,2,2,1,1,31.37
4.8,8,6,1,0,2,2,1,1,28.8
4.8,8,6,1,0,2,2,1,1,31.8
4,8,7,1,0,2,2,1,0,27.37
4,8,6,0,0,2,2,1,0,27.3
4,8,6,0,0,2,2,1,0,28.4
4,8,7,1,0,2,2,1,0,27.97
5,10,6,1,0,2,2,1,0,23.23
5,10,7,1,0,2,2,1,0,23.62
5,10,6,1,0,2,2,1,0,23.7
5,10,7,1,0,2,2,1,0,24.05
1.6,4,4,1,0,2,2,1,0,47.9
1.6,4,5,0,0,2,2,1,0,48.9
2.2,4,5,0,0,2,2,1,0,51.9
2.2,4,4,1,0,2,2,1,0,46.8
2,4,5,0,0,2,2,1,0,41.9
2.2,4,5,0,0,2,2,1,0,51.9
4,6,5,1,1,1,1,0,0,32.76
4,6,5,0,0,1,1,0,0,36.39
4.6,8,5,1,1,2,1,1,0,32.11
4.6,8,5,0,1,2,1,1,0,33.8
5.4,8,6,0,0,2,2,0,0,30.4
1.8,4,5,1,0,2,2,1,1,50.5
1.8,4,5,0,0,2,2,1,1,48.6
1.8,4,5,1,0,2,2,1,1,51.19
2,4,6,0,0,2,2,1,1,40.5
2,4,5,1,0,2,2,1,0,41.8
2,4,6,0,0,2,2,1,0,42
3.8,6,6,1,0,2,2,1,0,38.05
3.8,6,6,0,0,2,2,1,0,36.4
3.7,6,6,0,0,2,2,1,1,32.97
3.7,6,7,1,0,2,2,1,1,35.23
3.7,6,6,0,0,2,2,1,1,34.73
3.7,6,7,1,0,2,2,1,1,37.07
3.7,6,7,1,0,2,2,1,1,35.16
2.5,6,6,1,0,2,2,1,0,36.29
2.5,6,6,0,0,2,2,1,0,36.7
2.5,6,6,1,0,2,2,1,0,40.82
3.5,6,6,1,0,2,2,1,0,36.56
5,8,8,1,0,2,2,1,0,32.09
4.2,8,6,0,0,2,2,1,0,26.88
4.7,8,6,0,0,2,2,1,0,26.7
4.7,8,6,0,0,2,2,1,0,26.56
1.3,2,6,0,0,0,0,0,0,30.2
1.3,2,6,1,0,0,0,0,0,32.1
3.5,6,7,1,0,2,2,1,0,36.09
5.5,8,7,1,0,2,2,1,0,31.7
1.6,4,6,0,0,2,2,1,1,51.66
1.6,4,6,1,0,2,2,1,1,47.2
1.6,4,6,1,0,2,2,1,0,44.57
1.6,4,6,0,0,2,2,1,0,47.76
1.6,4,6,0,0,2,2,1,1,46.5
2.4,4,5,0,0,2,2,0,1,38.6
2.4,4,4,1,0,2,2,0,1,37.49
3.8,6,6,0,0,2,2,0,1,34.6
3.8,6,5,1,0,2,2,0,1,33.2
2.5,4,1,1,0,2,2,1,0,44.74
2.5,4,6,0,0,2,2,1,0,43.8
3.5,6,6,0,0,2,2,1,0,37.96
3.5,6,1,1,0,2,2,1,0,38.02
3.8,6,6,1,0,2,2,1,0,29.03
2.2,4,5,0,0,2,2,1,0,51.9
2.2,4,4,1,0,2,2,1,0,46.8
2.2,4,4,1,0,2,2,1,0,46.8
2.2,4,5,0,0,2,2,1,0,51.9
2.2,4,5,0,0,2,2,1,0,51.9
4.6,8,5,1,0,2,1,1,0,29.14
4.6,8,5,0,0,2,1,1,0,31.61
2,4,6,0,0,2,2,0,0,41.2
2,4,5,1,0,2,2,0,0,37.5
1.6,4,5,0,0,2,2,1,0,48.9
1.6,4,4,1,0,2,2,1,0,42.1
2.4,4,4,1,0,2,2,1,0,40.2
2.4,4,5,0,0,2,2,1,0,38.2
1.8,4,4,1,0,2,2,1,0,47.2
1.8,4,5,0,0,2,2,1,0,46.9
1.5,4,4,1,0,2,2,1,0,48.86
1.5,4,5,0,0,2,2,1,0,50.67
2,4,6,0,0,2,2,1,0,41.52
2,4,6,0,0,2,2,1,0,41.32
2.5,5,6,0,0,2,2,1,0,40.8
2.5,5,5,0,0,2,2,1,0,39.38
2.5,5,5,1,0,2,2,1,0,38.4
2.5,5,6,0,0,2,2,1,0,38.6
2.4,4,6,0,0,2,2,1,0,39.3
2.4,4,5,1,0,2,2,1,0,42.3
3.5,6,5,1,0,2,2,1,1,37.6
2,4,1,0,0,2,2,1,1,42.77
2,4,6,1,0,2,2,1,1,37.8
2,4,6,1,0,2,2,1,1,42.58
3,6,6,0,0,2,2,1,0,34.1
3,6,7,0,0,2,2,1,0,35
6.8,8,6,0,0,1,1,0,0,21.01
6.8,8,6,0,0,1,1,0,0,21.01
6,12,6,1,0,2,2,1,0,23.8
3,6,6,1,0,2,2,1,1,39.71
3,6,6,0,0,2,2,1,1,38.79
3,6,6,1,0,2,2,1,1,35.54
3,6,6,0,0,2,2,1,1,35.46
3,6,6,1,0,2,2,0,0,51.1
3,6,6,1,0,2,2,1,0,36.15
3,6,6,0,0,2,2,1,0,35.71
3,6,6,1,0,2,2,1,0,34.73
3,6,6,1,0,2,2,1,0,34.29
4,8,6,0,0,2,2,1,0,28.4
4,8,7,1,0,2,2,1,0,27.97
1.6,4,4,1,0,2,2,1,0,47.9
1.6,4,5,0,0,2,2,1,0,48.9
3.6,6,6,0,0,2,2,1,0,40.4
3.6,6,6,1,0,2,2,1,0,40
6.2,8,6,0,0,1,1,0,0,33.8
6.2,8,6,1,0,1,1,1,0,35.2
2.2,4,5,0,0,2,2,1,0,51.9
2.2,4,4,1,0,2,2,1,0,46.8
2.2,4,5,0,0,2,2,1,0,51.9
2.4,4,4,1,0,2,2,1,0,40.1
2.7,6,4,1,0,2,2,0,0,36.5
3.5,6,6,1,0,2,2,0,0,37.6
3.5,6,5,1,0,2,2,0,0,34.7
5.7,8,5,1,0,1,1,1,0,34.5
5.7,8,6,0,0,1,1,1,0,33.6
6.1,8,6,0,0,1,1,0,0,30.1
6.1,8,5,1,0,1,1,0,0,26
2,4,4,1,0,2,2,0,0,47.33
2,4,5,0,0,2,2,0,0,49.3
2.4,4,5,0,0,2,2,1,1,43.5
2.4,4,5,1,0,2,2,1,1,43.3
3.5,6,6,0,0,2,2,1,1,35.5
3.5,6,5,1,0,2,2,1,1,39.9
1.3,4,1,1,0,1,1,1,1,65
1.3,4,1,1,0,1,1,1,1,62.27
1.3,4,1,1,0,1,1,1,1,61.2
1.6,4,4,1,0,2,2,1,0,50.4
1.6,4,5,0,0,2,2,1,0,48.2
1.6,4,5,0,0,2,2,1,0,50.82
2,4,4,1,0,2,2,1,0,47.3
2,4,5,1,0,2,2,1,0,50.9
2,4,5,0,0,2,2,1,0,47.4
2.4,4,5,1,0,2,2,1,0,44.34
2.4,4,6,0,0,2,2,1,0,44.6
1.6,4,4,1,0,2,2,1,0,50.27
1.6,4,5,0,0,2,2,1,0,48.32
3.5,6,1,0,0,2,2,1,0,35.35
2.4,4,1,0,0,2,2,1,0,47.41
2,4,5,1,0,2,2,1,0,46.62
2,4,5,0,0,2,2,1,0,46.44
2.5,4,6,0,0,2,2,1,0,40.19
2.5,4,5,1,0,2,2,1,0,40.89
3,6,6,0,0,2,2,1,0,35.8
3,6,7,1,0,2,2,1,0,35.73
3.5,6,7,1,0,2,2,1,0,35.9
3,6,7,1,0,2,2,1,0,34.9
3.5,6,7,1,0,2,2,1,0,33.9
3.5,6,7,1,0,2,2,1,0,34.6
6.3,8,7,1,0,2,2,1,0,26.67
5.5,8,7,1,0,2,2,1,0,29.2
5.5,12,5,1,0,2,1,1,0,23.9
6.3,8,7,1,0,2,2,1,0,24.7
6,12,5,1,0,2,1,1,0,23.4
5.5,8,7,1,0,2,2,1,0,29
6.3,8,7,1,0,2,2,1,0,24.82
2,4,5,0,0,2,2,1,0,42.94
2,4,1,0,0,2,2,1,0,42.46
2,4,6,1,0,2,2,1,0,34.9
2.4,4,5,0,0,2,2,1,0,38.88
2.4,4,1,0,0,2,2,1,0,40.37
2,4,5,0,0,2,2,1,0,30.6
2,4,6,1,0,2,2,1,0,31.1
1.6,4,4,1,0,2,2,1,0,47.9
1.6,4,5,0,0,2,2,1,0,48.9
2.4,4,4,1,0,2,2,1,0,42.8
2.4,4,6,1,0,2,2,1,0,46.9
2.4,4,4,1,0,2,2,1,0,42.6
2.4,4,6,1,0,2,2,1,0,46.8
3.5,6,4,1,0,1,1,1,0,40.3
3.5,6,4,1,0,1,1,1,0,41.2
3.6,6,6,1,0,2,2,1,0,35.6
3.6,6,4,1,0,2,2,1,0,31
6.7,12,6,1,0,2,2,1,0,24.2
6.7,12,6,1,0,2,2,1,0,24.2
2,4,5,1,0,2,2,0,0,37.1
2,4,6,0,0,2,2,0,0,41.11
2,4,6,1,0,2,2,0,0,38.46
2,4,6,0,0,2,2,0,0,43.1
2,4,5,1,0,2,2,0,0,38.5
2.5,4,5,0,0,2,2,0,1,37.07
2.5,4,4,1,0,2,2,0,1,35.92
2.5,4,5,0,0,2,2,1,0,34.14
2.5,4,4,1,0,2,2,1,0,32.91
2.4,4,1,0,0,2,2,1,0,42.39
2.4,4,6,0,0,2,2,1,0,41.4
2.4,4,1,0,0,2,2,1,0,40.83
2.4,4,1,0,0,2,2,1,0,44.08
2.4,4,6,0,0,2,2,1,0,43
2.4,4,1,0,0,2,2,1,0,41.59
2,4,6,0,0,2,2,1,0,46.36
2,4,1,1,0,2,2,1,0,45.19
2,4,6,0,0,2,2,1,0,44.71
2,4,1,1,0,2,2,1,0,41.57
1.8,4,4,1,0,2,2,1,0,48.4
1.8,4,5,0,0,2,2,1,0,50
2.4,4,5,0,0,2,2,1,0,42.2
2.4,4,5,1,0,2,2,1,0,42.6
2,4,6,0,0,2,2,1,0,42
2,4,6,0,0,2,2,1,0,41.52
3.6,6,6,0,0,2,2,1,0,35.1
3.6,6,6,0,0,2,2,1,0,33.5
2,4,6,0,0,2,2,0,0,60.1
2,4,6,0,0,2,2,0,0,58.54
2.5,5,5,0,0,2,2,1,0,39.61
2.5,5,6,0,0,2,2,1,0,40.24
2,4,6,0,0,2,2,1,0,43.54
2,4,6,0,0,2,2,1,0,41.52
2,4,6,0,0,2,2,1,0,43.54
